Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
145;412;133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;2
133;312;134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;2
134;312;234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;2
234;503;223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;2
223;434;143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;2
143;323;141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;2
141;323;254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;1
254;233;135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;2
135;233;234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;1
234;222;234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;2
234;132;125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;1
125;122;234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;1
234;122;225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;2
